Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2012-10-30,1,21200001,1610612764,WAS,Washington,0-1,24,15,23,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84,0.35600000000000004,0.6,0.25,26,39,12,,0
2012-11-03,1,21200027,1610612764,WAS,Washington,0-2,12,30,25,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,86,0.436,0.706,0.3,20,46,15,,0
2012-11-07,2,21200054,1610612764,WAS,Washington,0-3,16,26,16,30,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.41100000000000003,0.857,0.345,25,44,19,,0
2012-11-09,1,21200068,1610612764,WAS,Washington,0-4,28,19,25,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,91,0.436,0.8640000000000001,0.222,23,36,20,,0
2012-11-10,2,21200082,1610612764,WAS,Washington,0-5,22,27,23,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.44299999999999995,0.7140000000000001,0.41700000000000004,26,40,12,,0
2012-11-13,1,21200103,1610612764,WAS,Washington,0-6,27,12,22,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.298,0.6559999999999999,0.161,18,50,17,,0
2012-11-14,7,21200115,1610612764,WAS,Washington,0-7,19,26,22,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101,0.48100000000000004,0.909,0.48100000000000004,24,34,16,,0
2012-11-17,2,21200133,1610612764,WAS,Washington,0-8,17,23,23,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.365,0.75,0.313,18,44,15,,0
2012-11-19,1,21200147,1610612764,WAS,Washington,0-9,13,28,26,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,89,0.35600000000000004,0.742,0.235,13,36,10,,0
2012-11-21,6,21200162,1610612764,WAS,Washington,0-10,24,23,19,24,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.42700000000000005,0.708,0.35,20,58,20,,0
2012-11-24,2,21200184,1610612764,WAS,Washington,0-11,24,27,21,20,7,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.366,0.821,0.222,21,53,19,,0
