GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2015-10-27,1,21500001,1610612765,DET,Detroit,1-0,25,23,34,24,0,0,0,0,0,0,0,0,0,0,106,0.385,0.769,0.414,23,59,15,1610612765.0,1
2015-10-28,4,21500007,1610612765,DET,Detroit,2-0,16,25,28,23,0,0,0,0,0,0,0,0,0,0,92,0.405,0.735,0.368,16,43,10,1610612765.0,1
2015-10-30,5,21500025,1610612765,DET,Detroit,3-0,23,12,29,19,15,0,0,0,0,0,0,0,0,0,98,0.375,0.5,0.214,18,61,14,1610612765.0,1
2015-11-03,2,21500054,1610612765,DET,Detroit,3-1,30,17,20,15,0,0,0,0,0,0,0,0,0,0,82,0.384,0.647,0.22699999999999998,14,50,23,1610612765.0,1
2015-11-06,8,21500082,1610612765,DET,Detroit,4-1,21,21,25,33,0,0,0,0,0,0,0,0,0,0,100,0.5,0.5,0.364,15,47,15,1610612765.0,1
2015-11-08,5,21500098,1610612765,DET,Detroit,5-1,23,24,32,41,0,0,0,0,0,0,0,0,0,0,120,0.49,0.682,0.36700000000000005,16,46,9,1610612765.0,1
2015-11-09,6,21500104,1610612765,DET,Detroit,5-2,15,31,30,19,0,0,0,0,0,0,0,0,0,0,95,0.47100000000000003,0.6,0.316,15,41,20,1610612765.0,1
2015-11-11,10,21500122,1610612765,DET,Detroit,5-3,23,26,21,22,0,0,0,0,0,0,0,0,0,0,92,0.382,0.75,0.281,16,45,16,1610612765.0,1
2015-11-14,1,21500138,1610612765,DET,Detroit,5-4,28,32,20,16,0,0,0,0,0,0,0,0,0,0,96,0.446,0.657,0.259,15,42,15,1610612765.0,1
2015-11-15,7,21500151,1610612765,DET,Detroit,5-5,18,26,22,19,0,0,0,0,0,0,0,0,0,0,85,0.365,0.5329999999999999,0.259,16,46,10,1610612765.0,1
2015-11-17,3,21500160,1610612765,DET,Detroit,6-5,31,24,20,29,0,0,0,0,0,0,0,0,0,0,104,0.429,0.8059999999999999,0.33299999999999996,20,48,13,1610612765.0,1
2015-11-20,4,21500181,1610612765,DET,Detroit,7-5,22,16,30,28,0,0,0,0,0,0,0,0,0,0,96,0.46,0.769,0.214,13,45,14,1610612765.0,1
2015-11-21,4,21500192,1610612765,DET,Detroit,7-6,24,28,21,22,0,0,0,0,0,0,0,0,0,0,95,0.456,0.7140000000000001,0.308,20,38,13,1610612765.0,1
2015-11-23,4,21500205,1610612765,DET,Detroit,7-7,26,22,14,26,0,0,0,0,0,0,0,0,0,0,88,0.341,0.833,0.214,19,48,17,1610612765.0,1
2015-11-25,4,21500218,1610612765,DET,Detroit,8-7,25,35,23,21,0,0,0,0,0,0,0,0,0,0,104,0.418,0.857,0.516,24,54,7,1610612765.0,1
2015-11-27,8,21500234,1610612765,DET,Detroit,8-8,31,24,16,16,0,0,0,0,0,0,0,0,0,0,87,0.344,0.8,0.31,17,38,8,1610612765.0,1
2015-11-29,3,21500248,1610612765,DET,Detroit,8-9,22,19,26,16,0,0,0,0,0,0,0,0,0,0,83,0.337,0.429,0.25,19,51,14,1610612765.0,1
2015-11-30,1,21500254,1610612765,DET,Detroit,9-9,29,35,20,32,0,0,0,0,0,0,0,0,0,0,116,0.529,0.486,0.348,22,46,11,1610612765.0,1
2015-12-02,3,21500270,1610612765,DET,Detroit,10-9,31,26,23,32,15,0,0,0,0,0,0,0,0,0,127,0.506,0.614,0.444,24,50,18,1610612765.0,1
2015-12-04,3,21500285,1610612765,DET,Detroit,11-9,17,34,16,35,0,0,0,0,0,0,0,0,0,0,102,0.415,0.6920000000000001,0.304,18,46,9,1610612765.0,1
2015-12-06,3,21500301,1610612765,DET,Detroit,12-9,32,33,25,21,0,0,0,0,0,0,0,0,0,0,111,0.441,0.769,0.375,20,61,16,1610612765.0,1
2015-12-07,1,21500304,1610612765,DET,Detroit,12-10,20,31,19,14,0,0,0,0,0,0,0,0,0,0,84,0.368,0.455,0.294,17,41,12,1610612765.0,1
2015-12-09,4,21500322,1610612765,DET,Detroit,12-11,17,30,27,18,0,0,0,0,0,0,0,0,0,0,92,0.425,0.667,0.276,17,43,12,1610612765.0,1
2015-12-11,3,21500335,1610612765,DET,Detroit,13-11,35,23,31,18,0,0,0,0,0,0,0,0,0,0,107,0.462,0.688,0.37,18,48,14,1610612765.0,1
2015-12-12,3,21500346,1610612765,DET,Detroit,14-11,28,37,37,16,0,0,0,0,0,0,0,0,0,0,118,0.5,0.789,0.44799999999999995,26,46,14,1610612765.0,1
2015-12-14,3,21500359,1610612765,DET,Detroit,14-12,27,12,24,31,9,0,0,0,0,0,0,0,0,0,103,0.41600000000000004,0.742,0.316,17,54,18,1610612765.0,1
2015-12-16,4,21500374,1610612765,DET,Detroit,15-12,18,37,30,34,0,0,0,0,0,0,0,0,0,0,119,0.48700000000000004,0.7440000000000001,0.524,13,36,11,1610612765.0,1
2015-12-18,6,21500391,1610612765,DET,Detroit,16-12,30,25,19,31,11,7,4,20,0,0,0,0,0,0,147,0.452,0.5870000000000001,0.276,28,64,11,1610612765.0,1
2015-12-22,2,21500420,1610612765,DET,Detroit,17-12,18,36,18,21,0,0,0,0,0,0,0,0,0,0,93,0.449,0.5710000000000001,0.5,16,43,16,1610612765.0,1
2015-12-23,7,21500429,1610612765,DET,Detroit,17-13,26,19,22,33,0,0,0,0,0,0,0,0,0,0,100,0.42700000000000005,0.515,0.33299999999999996,18,46,14,1610612765.0,1
