GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612755,21,21,24,21,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
1,21800001,1610612738,21,26,30,28,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,1
2,21800002,1610612760,23,24,32,21,0,0,0,0,100,0.363,0.649,0.27,21,45,14,1
2,21800002,1610612760,23,24,32,21,0,0,0,0,100,0.363,0.649,0.27,21,45,14,1
2,21800002,1610612760,23,24,32,21,0,0,0,0,100,0.363,0.649,0.27,21,45,14,1
2,21800002,1610612760,23,24,32,21,0,0,0,0,100,0.363,0.649,0.27,21,45,14,1
2,21800002,1610612760,23,24,32,21,0,0,0,0,100,0.363,0.649,0.27,21,45,14,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
2,21800002,1610612744,31,26,26,25,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,1
