GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
1,21700001,1610612738,19,19,33,28,0,0,0,0,99,0.409,0.76,0.25,24,46,10,1
5,21700007,1610612738,26,27,27,20,0,0,0,0,100,0.429,0.524,0.39299999999999996,23,43,12,1
3,21700019,1610612738,24,22,23,33,0,0,0,0,102,0.41700000000000004,0.688,0.345,16,55,19,1
3,21700051,1610612738,30,24,23,33,0,0,0,0,110,0.493,0.815,0.483,26,41,12,1
3,21700067,1610612738,28,15,29,24,0,0,0,0,96,0.423,0.8640000000000001,0.36700000000000005,21,45,15,1
2,21700078,1610612738,21,26,27,22,0,0,0,0,96,0.42,0.846,0.261,15,41,12,1
1,21700092,1610612738,30,24,26,28,0,0,0,0,108,0.47700000000000004,0.813,0.355,24,54,13,1
5,21700109,1610612738,27,31,31,24,0,0,0,0,113,0.488,0.8420000000000001,0.415,30,52,16,1
11,21700129,1610612738,18,19,30,34,0,0,0,0,101,0.429,0.667,0.46399999999999997,23,49,10,1
3,21700138,1610612738,22,27,28,27,0,0,0,0,104,0.43799999999999994,0.75,0.33299999999999996,26,54,13,1
1,21700146,1610612738,26,28,28,28,0,0,0,0,110,0.48100000000000004,0.818,0.389,28,42,13,1
3,21700161,1610612738,33,28,26,20,0,0,0,0,107,0.38799999999999996,0.774,0.24100000000000002,20,48,13,1
2,21700170,1610612738,11,30,23,26,0,0,0,0,90,0.35700000000000004,0.84,0.29,15,49,13,1
1,21700188,1610612738,24,20,33,18,0,0,0,0,95,0.402,0.789,0.385,24,46,14,1
1,21700201,1610612738,30,22,28,29,0,0,0,0,109,0.45299999999999996,0.815,0.33299999999999996,15,49,14,1
1,21700215,1610612738,18,24,26,24,0,0,0,0,92,0.32899999999999996,0.868,0.21899999999999997,15,52,15,1
3,21700230,1610612738,20,24,36,30,0,0,0,0,110,0.47600000000000003,0.8,0.47100000000000003,21,41,15,1
9,21700249,1610612738,34,19,16,27,14,0,0,0,110,0.452,0.8079999999999999,0.361,24,53,17,1
5,21700257,1610612738,16,25,22,35,0,0,0,0,98,0.41700000000000004,0.7040000000000001,0.34600000000000003,19,37,11,1
3,21700269,1610612738,40,33,26,19,0,0,0,0,118,0.462,0.68,0.405,27,46,8,1
5,21700281,1610612738,27,18,37,26,0,0,0,0,108,0.563,0.889,0.4,22,30,14,1
3,21700292,1610612738,23,34,29,22,0,0,0,0,108,0.519,0.5710000000000001,0.485,27,36,17,1
2,21700314,1610612738,28,26,22,32,0,0,0,0,108,0.506,0.8,0.414,25,40,16,1
1,21700326,1610612738,31,29,29,27,0,0,0,0,116,0.525,0.7829999999999999,0.452,32,31,9,1
5,21700343,1610612738,34,28,26,23,0,0,0,0,111,0.551,0.789,0.455,25,45,14,1
4,21700356,1610612738,24,23,23,27,0,0,0,0,97,0.414,0.765,0.353,25,53,11,1
8,21700374,1610612738,31,24,27,20,0,0,0,0,102,0.45799999999999996,0.882,0.289,14,39,14,1
2,21700386,1610612738,29,15,29,18,0,0,0,0,91,0.418,0.778,0.36700000000000005,16,50,13,1
1,21700391,1610612738,29,13,21,22,0,0,0,0,85,0.39799999999999996,0.643,0.25,22,46,15,1
4,21700407,1610612738,30,38,29,27,0,0,0,0,124,0.595,0.792,0.44,29,30,13,1
6,21700423,1610612738,26,13,28,28,0,0,0,0,95,0.40700000000000003,0.8420000000000001,0.29,20,31,8,1
8,21700436,1610612738,31,17,23,31,0,0,0,0,102,0.488,0.7140000000000001,0.467,21,42,16,1
2,21700442,1610612738,38,24,23,27,0,0,0,0,112,0.557,0.5710000000000001,0.615,26,38,19,1
3,21700456,1610612738,24,20,15,30,0,0,0,0,89,0.375,0.762,0.406,18,44,10,1
3,21700468,1610612738,15,25,28,25,0,0,0,0,93,0.384,0.737,0.342,17,35,10,1
6,21700485,1610612738,33,27,38,19,0,0,0,0,117,0.478,0.81,0.375,29,46,5,1
3,21700495,1610612738,24,26,26,27,0,0,0,0,103,0.48100000000000004,0.647,0.483,20,45,16,1
1,21700506,1610612738,28,32,16,26,0,0,0,0,102,0.474,1.0,0.441,20,43,15,1
2,21700517,1610612738,12,26,31,30,0,0,0,0,99,0.451,0.708,0.276,18,44,16,1
3,21700539,1610612738,38,23,21,26,0,0,0,0,108,0.494,0.64,0.424,21,50,17,1
6,21700559,1610612738,32,23,26,21,0,0,0,0,102,0.446,0.727,0.33299999999999996,27,52,15,1
2,21700570,1610612738,19,22,25,25,0,0,0,0,91,0.40399999999999997,0.6920000000000001,0.16699999999999998,24,56,10,1
2,21700579,1610612738,16,23,25,23,0,0,0,0,87,0.37799999999999995,0.5329999999999999,0.278,12,44,4,1
1,21700614,1610612738,23,25,37,29,0,0,0,0,114,0.483,0.789,0.371,24,46,18,1
2,21700650,1610612738,25,23,32,24,9,0,0,0,113,0.396,0.875,0.38,27,53,18,1
1,21700663,1610612738,19,13,21,27,0,0,0,0,80,0.405,0.765,0.24100000000000002,13,31,19,1
1,21700683,1610612738,29,30,12,24,0,0,0,0,95,0.435,0.929,0.29600000000000004,22,44,15,1
5,21700700,1610612738,21,32,21,33,0,0,0,0,107,0.467,0.8,0.341,22,42,11,1
9,21700709,1610612738,25,37,29,22,0,0,0,0,113,0.419,0.955,0.35,25,47,13,1
5,21700728,1610612738,37,17,19,32,0,0,0,0,105,0.435,0.708,0.5,17,45,14,1
6,21700743,1610612738,32,24,24,31,0,0,0,0,111,0.473,0.8,0.47200000000000003,28,40,9,1
6,21700758,1610612738,27,23,31,22,0,0,0,0,103,0.48200000000000004,0.6,0.423,27,49,9,1
2,21700767,1610612738,26,27,41,25,0,0,0,0,119,0.506,0.9,0.45799999999999996,26,42,11,1
1,21700784,1610612738,19,19,31,28,0,0,0,0,97,0.41200000000000003,0.706,0.41700000000000004,24,51,11,1
2,21700798,1610612738,18,19,23,31,0,0,0,0,91,0.39799999999999996,0.75,0.435,21,38,17,1
3,21700813,1610612738,26,23,26,23,12,0,0,0,110,0.46399999999999997,0.6759999999999999,0.34600000000000003,16,45,18,1
4,21700820,1610612738,16,22,34,19,0,0,0,0,91,0.382,0.8,0.259,16,38,10,1
3,21700835,1610612738,32,20,22,25,0,0,0,0,99,0.40399999999999997,0.773,0.263,22,43,14,1
6,21700858,1610612738,25,32,34,28,0,0,0,0,119,0.433,0.9520000000000001,0.484,24,46,8,1
1,21700873,1610612738,23,38,25,24,0,0,0,0,110,0.48200000000000004,0.611,0.436,30,42,11,1
3,21700886,1610612738,23,36,29,33,0,0,0,0,121,0.452,0.857,0.39399999999999996,21,45,11,1
2,21700898,1610612738,33,34,19,23,0,0,0,0,109,0.45299999999999996,0.7040000000000001,0.324,25,44,8,1
4,21700916,1610612738,37,30,36,31,0,0,0,0,134,0.621,0.9329999999999999,0.6,31,47,10,1
4,21700939,1610612738,32,32,25,31,0,0,0,0,120,0.484,0.905,0.542,22,38,13,1
4,21700953,1610612738,35,20,31,19,0,0,0,0,105,0.488,0.917,0.33299999999999996,25,53,18,1
3,21700974,1610612738,35,25,26,31,0,0,0,0,117,0.494,0.741,0.344,28,46,11,1
7,21700998,1610612738,25,25,20,27,0,0,0,0,97,0.42,0.81,0.324,26,42,16,1
2,21701017,1610612738,37,22,21,26,9,9,0,0,124,0.485,0.696,0.462,30,44,17,1
1,21701029,1610612738,25,23,27,17,0,0,0,0,92,0.37799999999999995,0.75,0.34600000000000003,16,55,18,1
2,21701047,1610612738,28,21,27,13,0,0,0,0,89,0.402,0.5,0.34600000000000003,17,44,12,1
2,21701059,1610612738,18,27,28,27,0,0,0,0,100,0.414,0.938,0.361,22,52,17,1
9,21701086,1610612738,23,24,20,38,0,0,0,0,105,0.455,0.9229999999999999,0.611,22,45,13,1
6,21701099,1610612738,24,28,28,24,0,0,0,0,104,0.556,0.706,0.545,23,35,15,1
5,21701107,1610612738,31,17,29,25,0,0,0,0,102,0.425,1.0,0.483,24,44,12,1
6,21701121,1610612738,18,30,19,30,0,0,0,0,97,0.44299999999999995,0.75,0.5710000000000001,20,42,16,1
3,21701140,1610612738,31,22,29,28,0,0,0,0,110,0.455,0.852,0.41200000000000003,19,41,5,1
7,21701162,1610612738,31,25,15,31,0,0,0,0,102,0.469,0.792,0.304,19,37,17,1
4,21701171,1610612738,20,13,20,25,0,0,0,0,78,0.33299999999999996,0.893,0.136,10,43,16,1
5,21701185,1610612738,30,25,24,32,0,0,0,0,111,0.556,0.41200000000000003,0.41200000000000003,35,46,18,1
3,21701202,1610612738,31,27,24,24,0,0,0,0,106,0.512,0.65,0.391,33,41,12,1
3,21701215,1610612738,30,24,18,29,0,0,0,0,101,0.379,0.815,0.39399999999999996,22,44,16,1
1,21701219,1610612738,27,26,30,27,0,0,0,0,110,0.451,0.8,0.25,22,62,13,1
1,21700001,1610612739,29,25,18,30,0,0,0,0,102,0.45799999999999996,0.84,0.22699999999999998,19,50,17,1
5,21700021,1610612739,25,30,31,30,0,0,0,0,116,0.5429999999999999,1.0,0.423,25,44,17,1
2,21700028,1610612739,18,27,20,28,0,0,0,0,93,0.384,0.741,0.28,15,44,16,1
1,21700049,1610612739,28,37,26,28,0,0,0,0,119,0.518,0.773,0.42100000000000004,28,39,9,1
4,21700058,1610612739,23,29,21,34,0,0,0,0,107,0.48100000000000004,0.654,0.34299999999999997,21,47,21,1
1,21700077,1610612739,22,30,31,18,0,0,0,0,101,0.462,0.7390000000000001,0.375,19,37,18,1
6,21700090,1610612739,19,35,21,20,0,0,0,0,95,0.38299999999999995,0.852,0.303,20,41,15,1
2,21700106,1610612739,28,33,24,22,0,0,0,0,107,0.5,0.7,0.226,25,41,16,1
4,21700122,1610612739,42,32,30,26,0,0,0,0,130,0.561,0.929,0.444,20,34,14,1
1,21700136,1610612739,28,17,33,37,0,0,0,0,115,0.43799999999999994,0.9129999999999999,0.278,27,47,13,1
1,21700149,1610612739,39,26,29,30,0,0,0,0,124,0.5,0.868,0.5,18,39,12,1
3,21700166,1610612739,25,42,26,20,0,0,0,0,113,0.556,0.7859999999999999,0.444,24,26,18,1
5,21700181,1610612739,29,20,34,28,0,0,0,0,111,0.43200000000000005,0.8290000000000001,0.387,18,53,17,1
2,21700193,1610612739,25,13,23,43,0,0,0,0,104,0.39799999999999996,0.818,0.35600000000000004,21,48,20,1
4,21700207,1610612739,36,25,27,27,0,0,0,0,115,0.442,0.9,0.342,25,51,13,1
4,21700220,1610612739,24,32,22,27,13,0,0,0,118,0.467,0.7929999999999999,0.33299999999999996,24,51,15,1
2,21700242,1610612739,36,37,28,15,0,0,0,0,116,0.525,0.941,0.485,28,42,11,1
2,21700254,1610612739,20,25,32,42,0,0,0,0,119,0.524,0.7040000000000001,0.41200000000000003,21,33,10,1
4,21700270,1610612739,27,27,29,17,0,0,0,0,100,0.45799999999999996,0.733,0.33299999999999996,25,45,12,1
2,21700291,1610612739,29,24,33,27,0,0,0,0,113,0.47700000000000004,0.8,0.405,25,46,11,1
1,21700298,1610612739,35,40,18,15,0,0,0,0,108,0.494,0.7390000000000001,0.33299999999999996,21,45,13,1
1,21700313,1610612739,42,21,36,22,0,0,0,0,121,0.519,0.778,0.462,30,40,19,1
4,21700329,1610612739,28,38,27,23,0,0,0,0,116,0.56,0.9129999999999999,0.45799999999999996,24,31,10,1
6,21700344,1610612739,29,32,25,27,0,0,0,0,113,0.519,0.941,0.361,22,46,7,1
1,21700353,1610612739,19,29,25,28,0,0,0,0,101,0.474,0.619,0.359,28,43,15,1
3,21700369,1610612739,33,30,23,16,0,0,0,0,102,0.435,0.773,0.306,23,44,11,1
5,21700379,1610612739,23,29,26,27,0,0,0,0,105,0.48,0.76,0.483,26,33,17,1
1,21700397,1610612739,31,31,32,29,0,0,0,0,123,0.5579999999999999,0.7,0.526,35,37,13,1
3,21700415,1610612739,24,39,31,27,0,0,0,0,121,0.5,0.8,0.41700000000000004,32,39,14,1
2,21700430,1610612739,23,28,29,29,0,0,0,0,109,0.532,0.882,0.455,30,41,12,1
4,21700440,1610612739,27,33,23,23,0,0,0,0,106,0.47100000000000003,0.833,0.41200000000000003,24,42,8,1
3,21700453,1610612739,34,24,25,33,0,0,0,0,116,0.5,0.833,0.39,26,37,14,1
