Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2013-04-20,away,Boston,New York,1610612738,41200111,42.8,250.0,300.0,305.0,300.0,280.0,290.0,295.0,305.0,280.0,52.1,7.5,-110.0,7.5,-108.0,7.5,-109.0,7.5,-110.0,7.5,-115.0,7.5,-110.0,7.5,-110.33,7.5,7.5,-108.0,-115.0,41.2,192.5,-110.0,188.5,-105.0,189.0,-108.0,189.0,-110.0,189.0,-110.0,189.0,-105.0,189.5,-108.0,192.5,188.5,-105.0,-110.0,78,-7,L,163
2013-04-20,home,New York,Boston,1610612752,41200111,57.2,-300.0,-343.0,-335.0,-360.0,-360.0,-350.0,-349.6,-335.0,-360.0,47.9,-7.5,-110.0,-7.5,-102.0,-7.5,-101.0,-7.5,-110.0,-7.5,-105.0,-7.5,-110.0,-7.5,-106.33,-7.5,-7.5,-101.0,-110.0,58.8,192.5,-110.0,188.5,-105.0,189.0,-102.0,189.0,-110.0,189.0,-110.0,189.0,-115.0,189.5,-108.67,192.5,188.5,-102.0,-115.0,85,7,W,163
2013-04-20,away,Chicago,Brooklyn,1610612741,41200131,52.8,170.0,163.0,170.0,165.0,165.0,165.0,165.6,170.0,163.0,55.4,4.5,-110.0,4.5,-108.0,4.5,-108.0,4.5,-110.0,4.5,-115.0,4.5,-110.0,4.5,-110.17,4.5,4.5,-108.0,-115.0,41.1,184.0,-110.0,181.5,-100.0,181.5,-105.0,181.0,-110.0,181.0,-115.0,181.5,-110.0,181.75,-108.33,184.0,181.0,-100.0,-115.0,89,-17,L,195
2013-04-20,home,Brooklyn,Chicago,1610612751,41200131,47.2,-195.0,-181.0,-185.0,-190.0,-190.0,-190.0,-187.2,-181.0,-190.0,44.6,-4.5,-110.0,-4.5,-102.0,-4.5,-102.0,-4.5,-110.0,-4.5,-105.0,-4.5,-110.0,-4.5,-106.5,-4.5,-4.5,-102.0,-110.0,58.9,184.0,-110.0,181.5,-110.0,181.5,-105.0,181.0,-110.0,181.0,-105.0,181.5,-110.0,181.75,-108.33,184.0,181.0,-105.0,-110.0,106,17,W,195
2013-04-20,away,Golden State,Denver,1610612744,41200161,47.3,330.0,314.0,325.0,315.0,300.0,315.0,313.8,325.0,300.0,46.2,7.0,-110.0,7.5,-104.0,7.5,-101.0,7.5,-110.0,7.5,-110.0,8.0,-115.0,7.5,-108.33,8.0,7.0,-101.0,-115.0,62.6,210.0,-110.0,211.5,-101.0,211.5,-105.0,211.5,-110.0,212.0,-110.0,211.5,-110.0,211.33,-107.67,212.0,210.0,-101.0,-110.0,95,-2,L,192
2013-04-20,home,Denver,Golden State,1610612743,41200161,52.7,-400.0,-360.0,-360.0,-375.0,-400.0,-375.0,-374.0,-360.0,-400.0,53.8,-7.0,-110.0,-7.5,-106.0,-7.5,-109.0,-7.5,-110.0,-7.5,-110.0,-8.0,-105.0,-7.5,-108.33,-7.0,-8.0,-105.0,-110.0,37.4,210.0,-110.0,211.5,-109.0,211.5,-105.0,211.5,-110.0,212.0,-110.0,211.5,-110.0,211.33,-109.0,212.0,210.0,-105.0,-110.0,97,2,W,192
2013-04-20,away,Memphis,L.A. Clippers,1610612763,41200171,49.2,180.0,211.0,210.0,205.0,210.0,210.0,209.2,211.0,205.0,52.5,4.5,-110.0,5.5,-105.0,5.5,-103.0,5.5,-110.0,5.5,-115.0,5.5,-110.0,5.33,-108.83,5.5,4.5,-103.0,-115.0,51.5,182.0,-110.0,178.0,-100.0,178.5,-107.0,179.0,-110.0,180.0,-105.0,178.5,-110.0,179.33,-107.0,182.0,178.0,-100.0,-110.0,91,-21,L,203
2013-04-20,home,L.A. Clippers,Memphis,1610612746,41200171,50.8,-210.0,-236.0,-230.0,-245.0,-250.0,-250.0,-242.2,-230.0,-250.0,47.5,-4.5,-110.0,-5.5,-105.0,-5.5,-107.0,-5.5,-110.0,-5.5,-105.0,-5.5,-110.0,-5.33,-107.83,-4.5,-5.5,-105.0,-110.0,48.5,182.0,-110.0,178.0,-110.0,178.5,-103.0,179.0,-110.0,180.0,-115.0,178.5,-110.0,179.33,-109.67,182.0,178.0,-103.0,-115.0,112,21,W,203
2013-04-21,away,Milwaukee,Miami,1610612749,41200101,50.3,1200.0,1300.0,1200.0,1395.0,,1200.0,1273.75,1395.0,1200.0,34.4,12.0,-110.0,13.0,-102.0,13.5,-110.0,14.0,-115.0,14.0,-115.0,13.5,-110.0,13.33,-110.33,14.0,12.0,-102.0,-115.0,45.7,199.0,-110.0,197.0,-100.0,197.0,-110.0,197.0,-110.0,198.0,-105.0,197.0,-110.0,197.5,-107.5,199.0,197.0,-100.0,-110.0,87,-23,L,197
2013-04-21,home,Miami,Milwaukee,1610612748,41200101,49.7,-2000.0,-2000.0,-1900.0,-2095.0,,-2000.0,-1998.75,-1900.0,-2095.0,65.6,-12.0,-110.0,-13.0,-108.0,-13.5,-110.0,-14.0,-105.0,-14.0,-105.0,-13.5,-110.0,-13.33,-108.0,-12.0,-14.0,-105.0,-110.0,54.3,199.0,-110.0,197.0,-110.0,197.0,-110.0,197.0,-110.0,198.0,-115.0,197.0,-110.0,197.5,-110.83,199.0,197.0,-110.0,-115.0,110,23,W,197
