Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2013-10-29,1,21300001,1610612753,ORL,Orlando,0-1,18,26,20,23,0,0,0,0,0,0,0,0,0,0,87,0.387,0.6,0.474,17,39,17,,0
2013-10-30,7,21300010,1610612753,ORL,Orlando,0-2,27,25,28,23,12,0,0,0,0,0,0,0,0,0,115,0.47,0.611,0.37,21,54,18,,0
2013-11-01,2,21300021,1610612753,ORL,Orlando,1-2,22,31,32,25,0,0,0,0,0,0,0,0,0,0,110,0.557,0.778,0.5,22,44,18,,0
2013-11-03,3,21300043,1610612753,ORL,Orlando,2-2,22,19,33,33,0,0,0,0,0,0,0,0,0,0,107,0.47200000000000003,0.727,0.41200000000000003,19,54,15,,0
2013-11-06,3,21300062,1610612753,ORL,Orlando,3-2,29,28,15,26,0,0,0,0,0,0,0,0,0,0,98,0.488,0.765,0.313,21,51,15,,0
2013-11-08,3,21300075,1610612753,ORL,Orlando,3-3,24,25,19,21,0,0,0,0,0,0,0,0,0,0,89,0.39799999999999996,0.655,0.2,19,56,20,,0
2013-11-09,2,21300086,1610612753,ORL,Orlando,3-4,22,23,26,23,0,0,0,0,0,0,0,0,0,0,94,0.46299999999999997,0.556,0.47100000000000003,22,36,17,,0
2013-11-11,4,21300101,1610612753,ORL,Orlando,3-5,25,25,24,31,0,0,0,0,0,0,0,0,0,0,105,0.45899999999999996,0.87,0.389,27,37,18,,0
2013-11-13,1,21300111,1610612753,ORL,Orlando,4-5,23,22,27,22,0,0,0,0,0,0,0,0,0,0,94,0.42700000000000005,0.7140000000000001,0.34600000000000003,20,45,15,,0
2013-11-16,2,21300137,1610612753,ORL,Orlando,4-6,24,22,34,20,0,0,0,0,0,0,0,0,0,0,100,0.529,0.7859999999999999,0.267,22,40,17,,0
2013-11-20,4,21300164,1610612753,ORL,Orlando,4-7,20,29,22,21,0,0,0,0,0,0,0,0,0,0,92,0.408,0.905,0.517,19,25,24,,0
2013-11-23,5,21300191,1610612753,ORL,Orlando,4-8,20,35,22,22,0,0,0,0,0,0,0,0,0,0,99,0.466,0.7240000000000001,0.435,19,41,16,,0
2013-11-24,3,21300199,1610612753,ORL,Orlando,4-9,21,23,28,24,0,0,0,0,0,0,0,0,0,0,96,0.46399999999999997,0.857,0.28600000000000003,24,41,12,,0
2013-11-26,3,21300213,1610612753,ORL,Orlando,5-9,26,23,36,24,0,0,0,0,0,0,0,0,0,0,109,0.506,0.85,0.364,29,43,12,,0
2013-11-27,2,21300216,1610612753,ORL,Orlando,6-9,33,22,22,28,0,0,0,0,0,0,0,0,0,0,105,0.524,0.7140000000000001,0.21100000000000002,22,45,17,,0
2013-11-29,2,21300229,1610612753,ORL,Orlando,6-10,24,21,25,21,0,0,0,0,0,0,0,0,0,0,91,0.436,0.9329999999999999,0.474,20,28,15,,0
2013-12-02,1,21300256,1610612753,ORL,Orlando,6-11,22,19,20,19,0,0,0,0,0,0,0,0,0,0,80,0.39,0.895,0.2,14,40,16,,0
2013-12-03,1,21300261,1610612753,ORL,Orlando,6-12,34,23,23,24,14,7,0,0,0,0,0,0,0,0,125,0.5,0.7809999999999999,0.231,28,34,18,,0
2013-12-06,5,21300284,1610612753,ORL,Orlando,6-13,31,23,15,14,0,0,0,0,0,0,0,0,0,0,83,0.429,0.65,0.4,19,31,12,,0
