GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2017-10-17,1,21700001,1610612738,BOS,Boston,0-1,19,19,33,28,0,0,0,0,0,0,0,0,0,0,99,0.409,0.76,0.25,24,46,10,1610612738.0,1
2017-10-18,5,21700007,1610612738,BOS,Boston,0-2,26,27,27,20,0,0,0,0,0,0,0,0,0,0,100,0.429,0.524,0.39299999999999996,23,43,12,1610612738.0,1
2017-10-20,3,21700019,1610612738,BOS,Boston,1-2,24,22,23,33,0,0,0,0,0,0,0,0,0,0,102,0.41700000000000004,0.688,0.345,16,55,19,1610612738.0,1
2017-10-24,3,21700051,1610612738,BOS,Boston,2-2,30,24,23,33,0,0,0,0,0,0,0,0,0,0,110,0.493,0.815,0.483,26,41,12,1610612738.0,1
2017-10-26,3,21700067,1610612738,BOS,Boston,3-2,28,15,29,24,0,0,0,0,0,0,0,0,0,0,96,0.423,0.8640000000000001,0.36700000000000005,21,45,15,1610612738.0,1
2017-10-28,2,21700078,1610612738,BOS,Boston,4-2,21,26,27,22,0,0,0,0,0,0,0,0,0,0,96,0.42,0.846,0.261,15,41,12,1610612738.0,1
2017-10-30,1,21700092,1610612738,BOS,Boston,5-2,30,24,26,28,0,0,0,0,0,0,0,0,0,0,108,0.47700000000000004,0.813,0.355,24,54,13,1610612738.0,1
2017-11-01,5,21700109,1610612738,BOS,Boston,6-2,27,31,31,24,0,0,0,0,0,0,0,0,0,0,113,0.488,0.8420000000000001,0.415,30,52,16,1610612738.0,1
2017-11-03,11,21700129,1610612738,BOS,Boston,7-2,18,19,30,34,0,0,0,0,0,0,0,0,0,0,101,0.429,0.667,0.46399999999999997,23,49,10,1610612738.0,1
2017-11-05,3,21700138,1610612738,BOS,Boston,8-2,22,27,28,27,0,0,0,0,0,0,0,0,0,0,104,0.43799999999999994,0.75,0.33299999999999996,26,54,13,1610612738.0,1
2017-11-06,1,21700146,1610612738,BOS,Boston,9-2,26,28,28,28,0,0,0,0,0,0,0,0,0,0,110,0.48100000000000004,0.818,0.389,28,42,13,1610612738.0,1
2017-11-08,3,21700161,1610612738,BOS,Boston,10-2,33,28,26,20,0,0,0,0,0,0,0,0,0,0,107,0.38799999999999996,0.774,0.24100000000000002,20,48,13,1610612738.0,1
2017-11-10,2,21700170,1610612738,BOS,Boston,11-2,11,30,23,26,0,0,0,0,0,0,0,0,0,0,90,0.35700000000000004,0.84,0.29,15,49,13,1610612738.0,1
2017-11-12,1,21700188,1610612738,BOS,Boston,12-2,24,20,33,18,0,0,0,0,0,0,0,0,0,0,95,0.402,0.789,0.385,24,46,14,1610612738.0,1
2017-11-14,1,21700201,1610612738,BOS,Boston,13-2,30,22,28,29,0,0,0,0,0,0,0,0,0,0,109,0.45299999999999996,0.815,0.33299999999999996,15,49,14,1610612738.0,1
2017-11-16,1,21700215,1610612738,BOS,Boston,14-2,18,24,26,24,0,0,0,0,0,0,0,0,0,0,92,0.32899999999999996,0.868,0.21899999999999997,15,52,15,1610612738.0,1
2017-11-18,3,21700230,1610612738,BOS,Boston,15-2,20,24,36,30,0,0,0,0,0,0,0,0,0,0,110,0.47600000000000003,0.8,0.47100000000000003,21,41,15,1610612738.0,1
2017-11-20,9,21700249,1610612738,BOS,Boston,16-2,34,19,16,27,14,0,0,0,0,0,0,0,0,0,110,0.452,0.8079999999999999,0.361,24,53,17,1610612738.0,1
2017-11-22,5,21700257,1610612738,BOS,Boston,16-3,16,25,22,35,0,0,0,0,0,0,0,0,0,0,98,0.41700000000000004,0.7040000000000001,0.34600000000000003,19,37,11,1610612738.0,1
2017-11-24,3,21700269,1610612738,BOS,Boston,17-3,40,33,26,19,0,0,0,0,0,0,0,0,0,0,118,0.462,0.68,0.405,27,46,8,1610612738.0,1
2017-11-25,5,21700281,1610612738,BOS,Boston,18-3,27,18,37,26,0,0,0,0,0,0,0,0,0,0,108,0.563,0.889,0.4,22,30,14,1610612738.0,1
2017-11-27,3,21700292,1610612738,BOS,Boston,18-4,23,34,29,22,0,0,0,0,0,0,0,0,0,0,108,0.519,0.5710000000000001,0.485,27,36,17,1610612738.0,1
2017-11-30,2,21700314,1610612738,BOS,Boston,19-4,28,26,22,32,0,0,0,0,0,0,0,0,0,0,108,0.506,0.8,0.414,25,40,16,1610612738.0,1
2017-12-02,1,21700326,1610612738,BOS,Boston,20-4,31,29,29,27,0,0,0,0,0,0,0,0,0,0,116,0.525,0.7829999999999999,0.452,32,31,9,1610612738.0,1
2017-12-04,5,21700343,1610612738,BOS,Boston,21-4,34,28,26,23,0,0,0,0,0,0,0,0,0,0,111,0.551,0.789,0.455,25,45,14,1610612738.0,1
2017-12-06,4,21700356,1610612738,BOS,Boston,22-4,24,23,23,27,0,0,0,0,0,0,0,0,0,0,97,0.414,0.765,0.353,25,53,11,1610612738.0,1
2017-12-08,8,21700374,1610612738,BOS,Boston,22-5,31,24,27,20,0,0,0,0,0,0,0,0,0,0,102,0.45799999999999996,0.882,0.289,14,39,14,1610612738.0,1
2017-12-10,2,21700386,1610612738,BOS,Boston,23-5,29,15,29,18,0,0,0,0,0,0,0,0,0,0,91,0.418,0.778,0.36700000000000005,16,50,13,1610612738.0,1
2017-12-11,1,21700391,1610612738,BOS,Boston,23-6,29,13,21,22,0,0,0,0,0,0,0,0,0,0,85,0.39799999999999996,0.643,0.25,22,46,15,1610612738.0,1
2017-12-13,4,21700407,1610612738,BOS,Boston,24-6,30,38,29,27,0,0,0,0,0,0,0,0,0,0,124,0.595,0.792,0.44,29,30,13,1610612738.0,1
2017-12-15,6,21700423,1610612738,BOS,Boston,24-7,26,13,28,28,0,0,0,0,0,0,0,0,0,0,95,0.40700000000000003,0.8420000000000001,0.29,20,31,8,1610612738.0,1
2017-12-16,8,21700436,1610612738,BOS,Boston,25-7,31,17,23,31,0,0,0,0,0,0,0,0,0,0,102,0.488,0.7140000000000001,0.467,21,42,16,1610612738.0,1
