GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
1,21600001,1610612752,18,27,19,24,0,0,0,0,88,0.368,0.75,0.333,17,42,18,1
3,21600028,1610612752,32,25,25,29,0,0,0,0,111,0.526,0.6409999999999999,0.28600000000000003,24,41,12,1
5,21600050,1610612752,29,26,24,10,0,0,0,0,89,0.407,0.8,0.318,18,43,11,1
4,21600058,1610612752,25,26,27,21,0,0,0,0,99,0.435,0.68,0.4,18,34,16,1
4,21600073,1610612752,32,24,28,33,0,0,0,0,117,0.517,0.762,0.429,32,40,5,1
1,21600087,1610612752,30,24,26,29,0,0,0,0,109,0.506,0.895,0.4,18,39,12,1
1,21600106,1610612752,19,31,22,38,0,0,0,0,110,0.478,0.706,0.333,25,50,14,1
5,21600125,1610612752,27,24,22,14,0,0,0,0,87,0.35100000000000003,0.882,0.261,19,57,25,1
3,21600131,1610612752,28,28,29,22,0,0,0,0,107,0.454,0.75,0.304,19,49,16,1
2,21600146,1610612752,15,21,31,26,0,0,0,0,93,0.436,0.889,0.36,18,51,17,1
5,21600162,1610612752,29,25,27,24,0,0,0,0,105,0.452,0.632,0.36,24,52,9,1
1,21600169,1610612752,18,24,23,47,0,0,0,0,112,0.477,0.9,0.414,23,36,13,1
1,21600193,1610612752,24,22,29,29,0,0,0,0,104,0.477,0.7140000000000001,0.37,21,50,15,1
1,21600208,1610612752,28,32,21,26,0,0,0,0,107,0.469,1.0,0.31,26,43,13,1
4,21600228,1610612752,30,22,27,25,9,0,0,0,113,0.464,0.923,0.393,26,55,16,1
2,21600241,1610612752,22,25,24,31,0,0,0,0,102,0.374,0.8,0.375,26,47,8,1
3,21600255,1610612752,29,26,26,22,0,0,0,0,103,0.396,0.893,0.316,20,40,5,1
5,21600271,1610612752,28,30,23,25,0,0,0,0,106,0.451,0.733,0.406,24,39,13,1
4,21600285,1610612752,30,32,36,20,0,0,0,0,118,0.477,0.8,0.387,26,43,15,1
3,21600302,1610612752,26,29,26,25,0,0,0,0,106,0.443,0.708,0.379,20,58,18,1
2,21600316,1610612752,26,27,31,30,0,0,0,0,114,0.49,0.688,0.28,22,53,10,1
7,21600327,1610612752,26,22,17,29,0,0,0,0,94,0.402,0.867,0.355,22,43,16,1
9,21600345,1610612752,30,24,24,25,0,0,0,0,103,0.429,0.84,0.345,22,54,16,1
5,21600360,1610612752,32,25,27,34,0,0,0,0,118,0.488,0.8390000000000001,0.455,21,44,10,1
5,21600372,1610612752,25,21,27,28,10,0,0,0,111,0.392,0.737,0.35,23,43,13,1
5,21600388,1610612752,25,20,21,24,0,0,0,0,90,0.409,0.474,0.238,19,49,11,1
6,21600404,1610612752,22,32,26,34,0,0,0,0,114,0.438,0.923,0.348,18,35,11,1
4,21600421,1610612752,20,34,30,34,0,0,0,0,118,0.5,0.81,0.565,24,45,14,1
3,21600438,1610612752,27,30,24,25,0,0,0,0,106,0.4270000000000001,0.882,0.45,26,52,15,1
1,21600456,1610612752,28,20,34,32,0,0,0,0,114,0.471,0.889,0.348,11,49,17,1
3,21600478,1610612752,25,22,19,19,13,0,0,0,98,0.376,0.8079999999999999,0.259,20,55,17,1
4,21600495,1610612752,21,30,18,23,0,0,0,0,92,0.376,0.938,0.304,18,50,14,1
4,21600504,1610612752,32,23,37,30,0,0,0,0,122,0.448,0.72,0.313,21,48,7,1
4,21600516,1610612752,32,27,21,23,0,0,0,0,103,0.47,0.708,0.381,18,46,18,1
3,21600531,1610612752,25,27,35,17,0,0,0,0,104,0.447,0.583,0.464,26,46,13,1
5,21600548,1610612752,32,21,30,33,0,0,0,0,116,0.494,0.778,0.565,29,40,14,1
1,21600552,1610612752,29,14,27,39,0,0,0,0,109,0.46,0.708,0.387,25,32,17,1
1,21600568,1610612752,26,25,15,30,0,0,0,0,96,0.424,0.813,0.379,17,45,14,1
1,21600580,1610612752,32,20,23,22,0,0,0,0,97,0.488,0.9,0.182,20,40,13,1
3,21600587,1610612752,24,30,22,28,0,0,0,0,104,0.478,0.818,0.304,21,48,12,1
2,21600606,1610612752,26,28,8,39,0,0,0,0,101,0.417,0.7040000000000001,0.414,21,41,14,1
1,21600613,1610612752,27,27,29,24,0,0,0,0,107,0.494,0.652,0.308,21,53,18,1
4,21600630,1610612752,31,32,25,29,0,0,0,0,117,0.505,0.833,0.4,27,57,14,1
3,21600638,1610612752,27,40,19,24,0,0,0,0,110,0.467,0.8640000000000001,0.292,20,41,10,1
5,21600654,1610612752,33,22,35,15,0,0,0,0,105,0.449,0.875,0.524,20,46,12,1
8,21600672,1610612752,22,40,24,23,0,0,0,0,109,0.461,0.8859999999999999,0.364,19,43,14,1
9,21600688,1610612752,25,26,22,22,0,0,0,0,95,0.424,0.833,0.304,17,55,18,1
5,21600699,1610612752,29,25,28,28,0,0,0,0,110,0.479,0.6920000000000001,0.333,22,48,10,1
1,21600711,1610612752,37,28,16,23,9,10,7,9,139,0.398,0.826,0.353,32,63,12,1
1,21600724,1610612752,28,26,22,25,0,0,0,0,101,0.366,0.8,0.208,18,51,12,1
4,21600733,1610612752,15,23,26,31,0,0,0,0,95,0.354,0.613,0.222,23,58,13,1
5,21600759,1610612752,25,20,23,36,0,0,0,0,104,0.453,0.5,0.387,23,42,10,1
1,21600768,1610612752,19,26,28,34,0,0,0,0,107,0.451,0.7879999999999999,0.333,16,40,16,1
10,21600791,1610612752,36,31,28,20,0,0,0,0,115,0.5,0.833,0.29600000000000004,25,41,11,1
2,21600800,1610612752,32,34,22,35,0,0,0,0,123,0.5589999999999999,0.6,0.421,36,33,10,1
2,21600817,1610612752,18,24,27,25,0,0,0,0,94,0.5,0.81,0.643,18,44,19,1
12,21600845,1610612752,39,21,20,25,0,0,0,0,105,0.477,0.857,0.524,19,39,15,1
4,21600853,1610612752,33,18,28,25,0,0,0,0,104,0.416,0.706,0.308,24,50,12,1
3,21600868,1610612752,31,29,26,24,0,0,0,0,110,0.473,0.7829999999999999,0.28600000000000003,21,44,11,1
1,21600882,1610612752,25,28,14,24,0,0,0,0,91,0.452,0.8420000000000001,0.375,17,40,17,1
1,21600895,1610612752,31,29,19,22,0,0,0,0,101,0.42,0.8059999999999999,0.276,21,50,11,1
1,21600909,1610612752,35,18,28,21,0,0,0,0,102,0.393,0.879,0.333,14,41,10,1
2,21600928,1610612752,18,32,26,29,0,0,0,0,105,0.47,0.8,0.318,18,47,15,1
2,21600935,1610612752,20,31,34,28,0,0,0,0,113,0.465,0.964,0.429,26,45,9,1
4,21600952,1610612752,30,26,17,20,0,0,0,0,93,0.464,0.667,0.333,22,43,15,1
3,21600975,1610612752,23,30,28,11,0,0,0,0,92,0.439,0.636,0.433,26,44,18,1
2,21600986,1610612752,26,23,31,32,0,0,0,0,112,0.415,0.813,0.348,22,43,9,1
